time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-04-17T21:57:19.610Z,40.406,-125.2691667,23.41,2.7,md,25,285,0.7145,0.28,nc,nc73168090,2019-04-18T01:36:03.811Z,"84km W of Petrolia, CA",earthquake,4.28,19.55,0.152,27,reviewed,nc,nc
2019-04-15T19:37:00.710Z,40.4048333,-125.2995,20.72,2.8,md,23,301,0.7376,0.29,nc,nc73166965,2019-04-16T03:54:02.514Z,"86km W of Petrolia, CA",earthquake,10.73,16.4,0.124,27,reviewed,nc,nc
2019-04-12T14:06:27.097Z,40.3879,-127.0159,10,4.8,mww,,182,2.045,1.04,us,us700034z9,2019-06-20T19:03:25.040Z,"234km W of Ferndale, California",earthquake,7.5,1.6,0.117,7,reviewed,us,us
2019-04-10T23:20:06.861Z,40.3669,-126.4821,10,3,ml,,258,1.637,1.05,us,us70003453,2019-06-20T19:03:14.040Z,"189km W of Ferndale, California",earthquake,8.4,2,0.048,56,reviewed,us,us
2019-03-30T03:44:51.210Z,40.5617,-127.2253,10,3,ml,,289,2.203,1.04,us,us2000k7hv,2019-06-08T20:51:11.040Z,"250km W of Ferndale, California",earthquake,9.8,2,0.055,44,reviewed,us,us
2019-03-27T10:36:43.383Z,41.3141,-126.131,10,3,ml,,246,1.521,0.88,us,us2000k67y,2019-06-08T20:51:09.040Z,"168km WSW of Crescent City, California",earthquake,6.4,2,0.044,68,reviewed,us,us
2019-03-24T11:32:02.010Z,40.419,-125.1371667,6.86,4.35,mw,77,248,0.6129,0.21,nc,nc73155640,2019-06-06T18:54:23.040Z,"73km W of Petrolia, CA",earthquake,0.63,0.61,,8,reviewed,nc,nc
2019-03-17T12:05:15.340Z,43.4168,-127.6289,10,3.1,ml,,274,2.622,0.57,us,us1000jhfg,2019-06-01T21:24:21.040Z,"263km W of Bandon, Oregon",earthquake,11.6,2,0.046,62,reviewed,us,us
2019-03-13T08:22:13.811Z,43.7144,-127.9008,10,3.3,ml,,281,2.792,0.69,us,us1000jk7i,2019-06-01T21:24:27.040Z,"290km WNW of Bandon, Oregon",earthquake,13.2,2,0.057,40,reviewed,us,us
2019-03-09T20:09:57.496Z,40.5181,-126.4811,10,3.1,ml,,228,1.635,0.95,us,us1000jd0s,2019-05-24T21:21:23.040Z,"187km W of Ferndale, California",earthquake,5.4,2,0.045,64,reviewed,us,us
2019-03-08T16:21:55.710Z,40.4486667,-125.7563333,8.74,2.87,ml,23,285,1.083,0.22,nc,nc73149496,2019-03-09T03:47:02.333Z,"125km W of Petrolia, CA",earthquake,6.34,6.65,0.131,8,reviewed,nc,nc
2019-03-05T09:25:53.710Z,40.4193333,-125.6526667,10.24,2.55,md,19,301,1.005,0.27,nc,nc73148206,2019-03-06T01:28:06.661Z,"116km W of Petrolia, CA",earthquake,13.22,14.15,0.148,17,reviewed,nc,nc
2019-03-03T15:44:17.370Z,40.4106667,-125.2955,23.4,2.82,md,32,275,0.734,0.27,nc,nc73147626,2019-03-06T17:44:53.592Z,"86km W of Petrolia, CA",earthquake,3.61,17.18,0.162,25,reviewed,nc,nc
2019-02-28T23:33:08.670Z,43.2634,-127.0925,10,3.2,ml,,240,2.267,0.75,us,us1000j90y,2019-05-14T18:36:14.040Z,"218km W of Bandon, Oregon",earthquake,10,2,0.046,62,reviewed,us,us
2019-02-13T22:13:14.750Z,40.3433,-126.574,10,3.4,ml,,254,1.712,0.66,us,us2000jhla,2019-05-01T22:00:40.040Z,"197km W of Ferndale, California",earthquake,8.4,2,0.047,60,reviewed,us,us
2019-01-30T00:34:53.090Z,40.429,-125.5036667,21.85,3.37,ml,58,264,0.8911,0.25,nc,nc73137916,2019-04-18T19:09:21.040Z,"104km W of Petrolia, CA",earthquake,2.89,7.54,0.29,23,reviewed,nc,nc
2019-01-29T18:08:16.580Z,43.4453,-126.7566,10,3.7,mb,,191,1.99,1.25,us,us2000ja44,2019-04-18T19:09:25.040Z,"194km WNW of Bandon, Oregon",earthquake,5.4,2,0.226,7,reviewed,us,us
2019-01-25T01:40:58.950Z,40.6224,-127.3185,10,3,ml,,267,2.276,1.1,us,us2000j8m6,2019-04-12T17:14:48.040Z,"258km W of Ferndale, California",earthquake,4.8,2,0.052,48,reviewed,us,us
